年度,株価,EPS,BPS,純利益,年間配当,PER,PBR,配当利回り(%),配当性向(%)
2025,3356.0,359.56,2756.368998486973,4765086000000.0,95.0,9.333629992212705,1.217543805579796,2.830750893921335,25.984249567374018
2024,3043.555419921875,365.94,2609.898540553077,4944933000000.0,85.0,8.317088648198817,1.1661585201993712,2.792786339411617,22.538627793743615
2023,2440.536865234375,179.47,2099.863396715157,2451318000000.0,65.0,13.598578398809689,1.1622360145198674,2.663348418371782,35.785136218148764
2022,1657.01513671875,205.23,1917.5137482756588,2850110000000.0,53.0,8.073942097737904,0.8641477216050396,3.198522380728007,25.452964556736408
2021,1876.7139892578125,,,,51.0,,,2.717515843752466,
